行番号,エラー内容
40,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
40,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
41,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
41,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
42,"既存顧客（同一店舗・同一電話番号）のためスキップ"
44,"既存顧客（同一店舗・同一電話番号）のためスキップ"
45,"既存顧客（同一店舗・同一電話番号）のためスキップ"
46,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
46,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
47,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
47,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
48,"既存顧客（同一店舗・同一電話番号）のためスキップ"
49,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
49,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
50,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
50,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
51,"既存顧客（同一店舗・同一電話番号）のためスキップ"
52,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
52,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
53,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
53,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
54,"既存顧客（同一店舗・同一電話番号）のためスキップ"
55,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
55,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
56,"既存顧客（同一店舗・同一電話番号）のためスキップ"
57,"既存顧客（同一店舗・同一電話番号）のためスキップ"
58,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
58,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
59,"既存顧客（同一店舗・同一電話番号）のためスキップ"
60,"既存顧客（同一店舗・同一電話番号）のためスキップ"
61,"既存顧客（同一店舗・同一電話番号）のためスキップ"
62,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
62,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
63,"既存顧客（同一店舗・同一電話番号）のためスキップ"
64,"既存顧客（同一店舗・同一電話番号）のためスキップ"
65,"既存顧客（同一店舗・同一電話番号）のためスキップ"
66,"既存顧客（同一店舗・同一電話番号）のためスキップ"
67,"既存顧客（同一店舗・同一電話番号）のためスキップ"
68,"既存顧客（同一店舗・同一電話番号）のためスキップ"
69,"既存顧客（同一店舗・同一電話番号）のためスキップ"
70,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
70,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
71,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
71,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
72,"既存顧客（同一店舗・同一電話番号）のためスキップ"
73,"既存顧客（同一店舗・同一電話番号）のためスキップ"
74,"既存顧客（同一店舗・同一電話番号）のためスキップ"
75,"既存顧客（同一店舗・同一電話番号）のためスキップ"
76,"既存顧客（同一店舗・同一電話番号）のためスキップ"
77,"既存顧客（同一店舗・同一電話番号）のためスキップ"
78,"既存顧客（同一店舗・同一電話番号）のためスキップ"
79,"既存顧客（同一店舗・同一電話番号）のためスキップ"
80,"既存顧客（同一店舗・同一電話番号）のためスキップ"
81,"既存顧客（同一店舗・同一電話番号）のためスキップ"
82,"既存顧客（同一店舗・同一電話番号）のためスキップ"
83,"既存顧客（同一店舗・同一電話番号）のためスキップ"
85,"既存顧客（同一店舗・同一電話番号）のためスキップ"
86,"既存顧客（同一店舗・同一電話番号）のためスキップ"
87,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
88,"既存顧客（同一店舗・同一電話番号）のためスキップ"
89,"既存顧客（同一店舗・同一電話番号）のためスキップ"
90,"既存顧客（同一店舗・同一電話番号）のためスキップ"
91,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
91,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
92,"既存顧客（同一店舗・同一電話番号）のためスキップ"
93,"既存顧客（同一店舗・同一電話番号）のためスキップ"
94,"既存顧客（同一店舗・同一電話番号）のためスキップ"
95,"既存顧客（同一店舗・同一電話番号）のためスキップ"
96,"既存顧客（同一店舗・同一電話番号）のためスキップ"
97,"既存顧客（同一店舗・同一電話番号）のためスキップ"
98,"既存顧客（同一店舗・同一電話番号）のためスキップ"
99,"既存顧客（同一店舗・同一電話番号）のためスキップ"
100,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
100,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
101,"既存顧客（同一店舗・同一電話番号）のためスキップ"
